t_mono,t_wall,cpu0,cpu1,cpu2,cpu3,cpu_total,arm_freq_hz,temp_c,mem_used_mb,pmic_power_w,cpu_power_w,mem_power_w,ext5v_v,throttled,ina_bus_v,ina_current_a,ina_power_w
848.883526231,1784278161.0975928,,,,,,2400000,47.95,3510.90625,2.67642228390672,0.7238549089719999,0.44177348201954003,5.12282,0x0,5.0575,0.06125,0.309771875
848.983586242,1784278161.1976526,0.0,0.0,9.090909090909092,0.0,2.5,2400000,46.85,3510.546875,2.67388763368128,0.7236341557999999,0.43009730128061996,5.12952,0x0,5.0600000000000005,0.06125,0.309925
849.083591509,1784278161.297658,0.0,10.0,0.0,18.181818181818183,7.317073170731708,2400000,46.85,3515.84375,2.6830235220204797,0.7238549089719999,0.43347948426298,5.08128,0x0,5.0600000000000005,0.06125,0.309925
849.183593221,1784278161.3976595,0.0,18.181818181818183,20.0,20.0,10.256410256410257,2400000,47.4,3516.296875,2.69136374956059,0.71620502385178,0.43438616192580004,5.12416,0x0,5.05375,0.06125,0.3095421875
849.283595414,1784278161.497662,45.45454545454545,40.0,40.0,30.0,40.476190476190474,2400000,49.6,3514.53125,2.67931559306916,0.7236341557999999,0.44525359949745996,5.12952,0x0,5.06375,0.0625,0.316484375
849.384060498,1784278161.5981274,36.36363636363637,30.0,22.22222222222222,30.0,30.76923076923077,2400000,47.4,3514.96875,8.999551780704978,6.8860524334362,0.55871268680928,5.08262,0x0,5.04,0.06125,0.3087
849.483616969,1784278161.6976838,100.0,80.0,88.88888888888889,88.88888888888889,89.1891891891892,2400000,50.7,2951.640625,9.02092846495053,6.802086531167999,0.6796605087997999,5.07592,0x0,5.06125,0.06,0.30367500000000003
849.584161555,1784278161.7982311,90.9090909090909,100.0,90.9090909090909,100.0,100.0,2400000,50.7,2951.421875,5.634036138921485,3.632671301391,0.543819028925,5.18982,0x0,5.04875,0.06,0.302925
849.684041669,1784278161.8981085,70.0,66.66666666666667,70.0,70.0,65.85365853658537,2400000,50.15,2949.609375,9.636075572066769,7.490324710232,0.6095728230559,5.1657,0x0,5.0225,0.06125,0.307628125
849.78359751,1784278161.9976642,66.66666666666667,60.0,66.66666666666667,60.0,62.16216216216216,2400000,51.8,2952.296875,2.72732334135126,0.739590885254,0.43705198637552,5.1188,0x0,5.1000000000000005,0.06125,0.312375
849.884072314,1784278162.0981398,72.72727272727273,77.77777777777777,70.0,70.0,71.42857142857143,2400000,51.8,2952.0,4.119961152302781,1.582911970935,0.85772200958476,5.1389,0x0,5.06125,0.06125,0.3100015625
849.983687064,1784278162.1977558,100.0,90.9090909090909,90.9090909090909,100.0,97.5,2400000,51.8,2955.875,7.074809493003891,4.938874836416001,0.6370399854072999,5.16302,0x0,5.05375,0.06125,0.3095421875
850.088073629,1784278162.3021407,100.0,100.0,100.0,100.0,100.0,2400000,52.35,2979.609375,5.932622162380611,3.632671301391,0.8439413565670999,5.12416,0x0,5.06125,0.06,0.30367500000000003
850.183721599,1784278162.397793,100.0,90.0,90.0,90.0,92.5,2400000,52.9,2983.71875,6.06540772583488,3.422574841335,0.9345354135239998,5.09736,0x0,5.0575,0.06125,0.309771875
850.283708458,1784278162.4977794,100.0,100.0,100.0,100.0,97.5,2400000,51.8,2967.359375,6.161309408709322,3.7495975235580006,0.8974856956803601,5.16704,0x0,5.06125,0.06125,0.3100015625
850.384070499,1784278162.5981379,100.0,81.81818181818181,83.33333333333333,90.0,90.2439024390244,2400000,53.45,2971.53125,7.06742621323037,4.58335705017,0.82286490999228,5.12684,0x0,5.06125,0.06125,0.3100015625
850.484144713,1784278162.6982155,90.9090909090909,100.0,100.0,90.9090909090909,97.5609756097561,2400000,54.0,2966.6875,5.6599639578562,3.40207945992,0.63864451148206,5.20054,0x0,5.0575,0.06125,0.309771875
850.583596197,1784278162.797663,44.44444444444444,22.22222222222222,30.0,22.22222222222222,31.57894736842105,2400000,52.35,2971.015625,4.8006564071587,2.4383324815,0.6911685108232599,5.12416,0x0,5.0525,0.06125,0.309465625
850.683592075,1784278162.8976588,60.0,0.0,0.0,10.0,17.5,2400000,51.8,2971.84375,2.7195913446328506,0.75532677342863,0.43382637761287995,5.1322,0x0,5.0600000000000005,0.06125,0.309925
850.783592675,1784278162.9976594,0.0,36.36363636363637,0.0,0.0,9.75609756097561,2400000,50.7,2997.484375,3.9233834170240396,1.8118439825900001,0.55307282929864,5.12684,0x0,5.0575,0.06125,0.309771875
850.883585457,1784278163.097652,0.0,100.0,0.0,0.0,25.641025641025642,2400000,51.8,2997.921875,4.14702218944616,2.009395188405,0.5647155406472,5.12148,0x0,5.05875,0.06125,0.30984843749999996
850.983592278,1784278163.1976588,20.0,50.0,20.0,27.272727272727273,30.0,2400000,52.35,3001.640625,4.888135960186225,2.92956842382,0.43275780070088,5.12416,0x0,5.045,0.06,0.30269999999999997
851.08361247,1784278163.2976794,60.0,0.0,60.0,60.0,42.5,2400000,51.25,3005.84375,2.726485035407345,0.7393653331,0.4377635476063,5.13354,0x0,5.0600000000000005,0.06125,0.309925
851.18359066,1784278163.397658,0.0,20.0,10.0,0.0,7.5,2400000,51.8,3008.46875,2.7200940844482444,0.7479145188539099,0.43220301563989005,5.13354,0x0,5.06125,0.06125,0.3100015625
851.283607612,1784278163.4976752,30.0,18.181818181818183,20.0,20.0,21.428571428571427,2400000,50.7,3009.546875,2.7579742871954496,0.74768656723578,0.43645793220099005,5.10272,0x0,5.06125,0.06125,0.3100015625
851.38359445,1784278163.5976613,9.090909090909092,0.0,16.666666666666668,0.0,7.5,2400000,51.8,3011.078125,2.7754988623356107,0.7550964223194999,0.4381655531047,5.13488,0x0,5.0600000000000005,0.06125,0.309925
851.483594957,1784278163.6976616,0.0,9.090909090909092,0.0,0.0,2.5,2400000,51.25,3011.078125,2.8804668264995104,0.74768656723578,0.5531606713614999,5.12416,0x0,5.0475,0.08875,0.447965625
851.583595333,1784278163.7976623,0.0,0.0,0.0,0.0,2.5641025641025643,2400000,51.8,3011.078125,2.6542825271471,0.7872784455389099,0.43506925763334,5.13756,0x0,5.05875,0.065,0.32881875
851.683596061,1784278163.8976626,0.0,0.0,10.0,9.090909090909092,5.0,2400000,50.7,3011.078125,2.618092139418675,0.7391398648880001,0.43814477026987997,5.13354,0x0,5.05875,0.06625,0.3351421875
851.783596438,1784278163.997663,0.0,10.0,0.0,18.181818181818183,5.0,2400000,50.7,3011.078125,2.6009796678368193,0.7472308336694999,0.43055992422056,5.13488,0x0,5.05875,0.06625,0.3351421875
851.88359357,1784278164.0976603,0.0,9.090909090909092,9.090909090909092,0.0,2.5641025641025643,2400000,51.8,3011.078125,2.626903261656005,0.739590885254,0.44218366525635994,5.14024,0x0,5.055,0.0775,0.39176249999999996
851.983594963,1784278164.1976616,0.0,0.0,0.0,10.0,7.317073170731708,2400000,50.7,3011.078125,3.793396813718585,1.7550960436579999,0.52198369187124,5.13086,0x0,5.0575,0.07375,0.37299062499999996
852.083595819,1784278164.2976625,0.0,0.0,10.0,9.090909090909092,2.5641025641025643,2400000,51.8,3011.078125,2.5906526652460102,0.7393653331,0.43521335954760004,5.13354,0x0,5.0575,0.065,0.3287375
852.183604546,1784278164.3976722,0.0,9.090909090909092,9.090909090909092,0.0,2.5,2400000,51.25,3011.078125,2.9580212229663005,0.75532677342863,0.4425664162989,5.14292,0x0,5.05875,0.07,0.3541125
852.283601661,1784278164.497669,0.0,10.0,0.0,9.090909090909092,5.0,2400000,51.25,3011.0625,3.0814028480541795,0.739816269524,0.43763031559090004,5.13756,0x0,5.05875,0.06625,0.3351421875
852.38360674,1784278164.597674,9.090909090909092,0.0,0.0,0.0,5.0,2400000,51.25,3011.0625,2.66315646620683,0.739590885254,0.43868531189729004,5.13488,0x0,5.05875,0.06625,0.3351421875
852.48360604,1784278164.697674,0.0,0.0,10.0,0.0,5.0,2400000,51.25,3011.0625,2.7053321360995697,0.739816269524,0.4798347743875,5.13354,0x0,5.0600000000000005,0.065,0.3289
852.583594989,1784278164.7976618,0.0,16.666666666666668,18.181818181818183,18.181818181818183,9.523809523809524,2400000,51.8,3011.0625,2.6388165281089697,0.779168198754,0.43208873423322003,5.13488,0x0,5.0575,0.06375,0.32241562500000004
852.683595308,1784278164.897662,0.0,0.0,0.0,9.090909090909092,5.0,2400000,51.25,3011.0625,2.6028105126477143,0.7550964223194999,0.43439796940201997,5.13488,0x0,5.06125,0.06375,0.32265468750000004
852.78359259,1784278164.9976594,0.0,0.0,0.0,10.0,2.5,2400000,50.15,3011.0625,2.5861958389110096,0.73216894817991,0.43059002204396,5.13488,0x0,5.05875,0.06375,0.3224953125
852.883595738,1784278165.0976622,0.0,0.0,9.090909090909092,0.0,2.5641025641025643,2400000,51.25,3011.0625,2.7837250786928047,0.739816269524,0.42832360991077995,5.13488,0x0,5.05875,0.065,0.32881875
852.983595703,1784278165.197662,0.0,9.090909090909092,10.0,10.0,7.317073170731708,2400000,49.6,3011.0625,2.61357360076523,0.73239201776705,0.43753881239410003,5.11344,0x0,5.06125,0.06375,0.32265468750000004
853.083594001,1784278165.2976604,9.090909090909092,10.0,0.0,9.090909090909092,7.317073170731708,2400000,50.7,3011.0625,2.6000352849891897,0.73239201776705,0.43865923568702997,5.1188,0x0,5.0575,0.06375,0.32241562500000004
853.183591114,1784278165.397658,0.0,0.0,10.0,0.0,2.5641025641025643,2400000,51.25,3011.0625,2.62441087805249,0.74768656723578,0.44886892868938,5.12818,0x0,5.0600000000000005,0.06625,0.33522500000000005
853.283589116,1784278165.4976559,0.0,10.0,9.090909090909092,0.0,5.0,2400000,50.7,3011.0625,2.6309070181162295,0.739590885254,0.43696048317872,5.13488,0x0,5.05625,0.08,0.4045
853.383593599,1784278165.59766,0.0,0.0,0.0,9.090909090909092,4.878048780487805,2400000,50.7,3011.0625,3.3930974183738396,1.50232743215,0.43750421467986,5.12818,0x0,5.06125,0.0625,0.316328125
853.483590749,1784278165.6976573,0.0,10.0,10.0,0.0,5.128205128205129,2400000,50.7,3011.28125,2.6440848319402104,0.7317228090056299,0.45144465972000003,5.13354,0x0,5.05625,0.07375,0.3728984375
853.583592955,1784278165.7976596,10.0,9.090909090909092,10.0,9.090909090909092,7.142857142857143,2400000,51.25,3011.28125,2.60686862342526,0.7393653331,0.43649256891648,5.13756,0x0,5.05625,0.06375,0.3223359375
