t_mono,t_wall,cpu0,cpu1,cpu2,cpu3,cpu_total,arm_freq_hz,temp_c,mem_used_mb,pmic_power_w,cpu_power_w,mem_power_w,ext5v_v,throttled,ina_bus_v,ina_current_a,ina_power_w
3385.334149628,1784280697.5482163,,,,,,2400000,59.5,2966.1875,6.04627531238994,3.723827464401,0.75874774609296,5.06788,0x0,5.04125,0.06375,0.3213796875
3385.436050386,1784280697.6501174,100.0,100.0,90.9090909090909,90.9090909090909,97.5609756097561,2400000,60.05,2939.546875,5.66493450576728,3.593271395736,0.6291231906746599,5.092,0x0,5.05375,0.06375,0.3221765625
3385.536042003,1784280697.7501087,100.0,100.0,100.0,100.0,100.0,2400000,61.15,2949.234375,8.856587747392005,6.649255063295,0.83166017318324,5.08128,0x0,5.05625,0.06375,0.3223359375
3385.636098619,1784280697.8501685,100.0,90.9090909090909,100.0,100.0,97.5609756097561,2400000,62.25,2949.234375,9.33260109436193,7.398172793284,0.51663179813788,5.07056,0x0,5.055,0.06375,0.32225624999999997
3385.734233076,1784280697.9483001,90.0,88.88888888888889,100.0,88.88888888888889,92.10526315789474,2400000,61.7,2946.953125,5.541799193713691,3.003187016982,0.8760812198237,5.14962,0x0,5.05625,0.06375,0.3223359375
3385.836098989,1784280698.0501668,100.0,100.0,100.0,100.0,100.0,2400000,63.35,2974.90625,5.482513031088595,3.0968325844830003,0.8237006127446,5.1456,0x0,5.04625,0.06375,0.3216984375
3385.934244125,1784280698.148311,100.0,100.0,100.0,100.0,97.36842105263158,2400000,63.35,2989.546875,4.094028915777059,2.05004236502,0.6244007138637401,5.1322,0x0,5.0525,0.06375,0.322096875
3386.034286254,1784280698.248353,90.9090909090909,90.0,100.0,100.0,95.0,2400000,62.8,2947.234375,5.98363614678536,3.7125578427999995,0.7661968895800401,5.05314,0x0,5.055,0.06375,0.32225624999999997
3386.134242107,1784280698.348309,100.0,100.0,100.0,100.0,100.0,2400000,64.45,2981.46875,5.621569869282554,3.216011293776,0.8886325402477999,5.13086,0x0,5.06125,0.06375,0.32265468750000004
3386.236057121,1784280698.4501238,90.9090909090909,90.9090909090909,100.0,90.9090909090909,92.85714285714286,2400000,63.35,2957.265625,5.8061485134664395,3.404151848592,0.8701810045251,5.14426,0x0,5.0512500000000005,0.06375,0.3220171875
3386.33616375,1784280698.550233,100.0,100.0,90.0,100.0,100.0,2400000,64.45,2988.203125,4.214283941926751,2.038429934114,0.592563410498,5.13756,0x0,5.0675,0.06375,0.323053125
3386.434221887,1784280698.6482885,10.0,33.333333333333336,90.0,10.0,35.0,2400000,63.35,3006.109375,4.282151134104409,1.9772732157829997,0.6966047819354599,5.13622,0x0,5.0600000000000005,0.06375,0.32257500000000006
3386.53421035,1784280698.7482772,10.0,100.0,0.0,0.0,25.641025641025642,2400000,62.25,3015.859375,3.96592457425357,2.0087835459149996,0.53340625867458,5.1322,0x0,5.055,0.06375,0.32225624999999997
3386.634216369,1784280698.848283,40.0,90.0,30.0,33.333333333333336,52.5,2400000,63.35,3028.9375,5.80646732637468,3.7553186057490002,0.50040829323391,5.10808,0x0,5.0512500000000005,0.06375,0.3220171875
3386.734220018,1784280698.948287,45.45454545454545,40.0,11.11111111111111,40.0,35.0,2400000,63.35,3032.53125,2.68204521260007,0.8421312855219999,0.43541264578368005,5.1389,0x0,5.05375,0.06375,0.3221765625
3386.834213079,1784280699.0482798,10.0,0.0,0.0,0.0,2.5641025641025643,2400000,62.8,3032.53125,2.725773837952605,0.8180211315195,0.43898547285010997,5.13488,0x0,5.05375,0.06375,0.3221765625
3386.934213778,1784280699.1482806,0.0,0.0,18.181818181818183,0.0,5.0,2400000,62.25,3032.1875,2.6931596155481348,0.8276499653099999,0.4373927712886199,5.13756,0x0,5.03875,0.12625,0.6361421875000001
3387.034213885,1784280699.2482805,10.0,0.0,0.0,0.0,0.0,2400000,62.25,3032.1875,2.6957353390662555,0.82538310267,0.44030758868008,5.13488,0x0,5.0525,0.065,0.32841250000000005
3387.134217083,1784280699.3482835,0.0,0.0,11.11111111111111,0.0,5.0,2400000,60.6,3032.1875,2.7012139012237006,0.826642460385,0.44887928721040005,5.13756,0x0,5.05375,0.0675,0.341128125
3387.23421606,1784280699.4482827,0.0,0.0,10.0,0.0,2.5641025641025643,2400000,61.7,3032.1875,2.7007308518655,0.827146165965,0.43972531949088006,5.1322,0x0,5.05375,0.0675,0.341128125
3387.334214518,1784280699.5482812,10.0,0.0,0.0,0.0,2.5641025641025643,2400000,61.15,3032.1875,3.3185209642971403,1.448592502008,0.44136270942010003,5.13622,0x0,5.0525,0.07375,0.372621875
3387.434212717,1784280699.648279,0.0,0.0,9.090909090909092,0.0,2.5641025641025643,2400000,61.7,3032.1875,3.17793698319551,1.275391224594,0.43638323611499996,5.13488,0x0,5.05375,0.065,0.32849375000000003
3387.534217768,1784280699.748284,9.090909090909092,0.0,10.0,0.0,2.5641025641025643,2400000,61.15,3032.1875,2.6965062207953503,0.81901904105205,0.43051002435652,5.14024,0x0,5.055,0.06625,0.33489375
3387.634229707,1784280699.8482962,10.0,0.0,0.0,0.0,2.5641025641025643,2400000,60.6,3032.1875,2.6959823914061403,0.81901904105205,0.44206745098844,5.13488,0x0,5.05,0.0725,0.366125
3387.734227684,1784280699.9482946,20.0,10.0,0.0,0.0,7.317073170731708,2400000,61.7,3032.15625,2.8819441900949903,0.826642460385,0.44348132670310003,5.13488,0x0,5.05375,0.0675,0.341128125
3387.834225777,1784280700.0482924,10.0,0.0,10.0,0.0,5.0,2400000,61.7,3031.140625,2.6953628978293103,0.810649742138,0.44947234484015997,5.13488,0x0,5.0525,0.065,0.32841250000000005
3387.934216675,1784280700.1482835,9.090909090909092,0.0,0.0,0.0,5.0,2400000,61.7,3031.140625,3.00191037910853,0.82639051383,0.68508942657,5.12684,0x0,5.05375,0.06625,0.3348109375
3388.03424459,1784280700.2483118,10.0,0.0,0.0,10.0,5.0,2400000,61.15,3031.140625,2.69254118321099,0.826642460385,0.44229419660027,5.13354,0x0,5.05625,0.06375,0.3223359375
3388.134225876,1784280700.3482935,0.0,0.0,10.0,9.090909090909092,2.5641025641025643,2400000,61.15,3031.140625,2.74960112310249,0.81876958688691,0.47488911390184,5.13488,0x0,5.055,0.06375,0.32225624999999997
3388.23422657,1784280700.4482937,10.0,0.0,0.0,0.0,5.0,2400000,62.25,3031.140625,2.6857640752538345,0.81876958688691,0.4388670774878799,5.1389,0x0,5.055,0.06375,0.32225624999999997
3388.334215023,1784280700.548282,10.0,0.0,10.0,0.0,5.0,2400000,61.15,3031.140625,2.8239707019570908,0.9450220722000001,0.4393458141231,5.13354,0x0,5.0512500000000005,0.06625,0.33464531250000007
3388.434215438,1784280700.6482818,10.0,0.0,0.0,0.0,5.0,2400000,61.15,3031.140625,3.36082666193932,1.440719716671,0.43862743205160004,5.13488,0x0,5.055,0.06375,0.32225624999999997
3388.534227206,1784280700.7482946,10.0,0.0,10.0,0.0,5.0,2400000,61.15,3031.140625,2.7096044903677297,0.826642460385,0.44158890665019995,5.1322,0x0,5.05625,0.06375,0.3223359375
3388.634215622,1784280700.8482823,18.181818181818183,0.0,0.0,0.0,5.0,2400000,61.15,3030.90625,2.85772360715623,0.81876958688691,0.43269420115976,5.07994,0x0,5.05375,0.06625,0.3348109375
