t_mono,t_wall,cpu0,cpu1,cpu2,cpu3,cpu_total,arm_freq_hz,temp_c,mem_used_mb,pmic_power_w,cpu_power_w,mem_power_w,ext5v_v,throttled,ina_bus_v,ina_current_a,ina_power_w
6349.477176667,1784283661.691243,,,,,,2400000,49.6,3557.71875,2.7058786137354405,0.740041821678,0.43332622226026,5.1322,0x0,5.065,0.0625,0.3165625
6349.577234549,1784283661.7913008,0.0,0.0,0.0,0.0,2.4390243902439024,2400000,51.25,3557.71875,2.703020917438085,0.75555695308178,0.43332189983914,5.13354,0x0,5.06625,0.0625,0.316640625
6349.677230721,1784283661.8912969,0.0,0.0,0.0,0.0,0.0,2400000,51.25,3557.71875,2.4891719623483204,0.7402672898900001,0.43881827748014,5.13354,0x0,5.0675,0.0625,0.31671875
6349.777232098,1784283661.991298,0.0,0.0,0.0,0.0,0.0,2400000,51.8,3557.71875,2.490647018113755,0.724296251004,0.43602582903458,5.13354,0x0,5.0675,0.0625,0.31671875
6349.877233161,1784283662.0912993,0.0,0.0,0.0,0.0,0.0,2400000,51.25,3559.6875,2.5142683814212896,0.73216894817991,0.44848063439522,5.13488,0x0,5.06625,0.0625,0.316640625
6349.977233612,1784283662.1912997,0.0,0.0,0.0,0.0,0.0,2400000,50.15,3559.6875,2.5153770100740496,0.7393653331,0.43164355654139996,5.1322,0x0,5.0675,0.0625,0.31671875
6350.077234953,1784283662.2913008,0.0,0.0,0.0,0.0,0.0,2400000,51.8,3559.6875,2.5111123934074304,0.7479145188539099,0.43102341880452,5.12818,0x0,5.06625,0.0625,0.316640625
6350.177230589,1784283662.3912969,0.0,0.0,0.0,0.0,0.0,2400000,51.25,3559.6875,2.52564058248853,0.73239201776705,0.43280133059139003,5.13488,0x0,5.06625,0.0625,0.316640625
6350.277234337,1784283662.4913003,0.0,0.0,0.0,0.0,0.0,2400000,51.8,3559.6875,2.50690710485399,0.72451692202,0.44580993850830003,5.1255,0x0,5.06625,0.0625,0.316640625
6350.377231992,1784283662.591298,0.0,0.0,0.0,0.0,0.0,2400000,51.8,3559.6875,2.538737290035015,0.7479145188539099,0.43130806793879994,5.12684,0x0,5.06625,0.0625,0.316640625
