t_mono,t_wall,cpu0,cpu1,cpu2,cpu3,cpu_total,arm_freq_hz,temp_c,mem_used_mb,pmic_power_w,cpu_power_w,mem_power_w,ext5v_v,throttled,ina_bus_v,ina_current_a,ina_power_w
9434.018070705,1784286746.2321372,,,,,,2400000,60.05,2975.65625,5.16347984548448,3.0602249933840002,0.83594261627524,5.17374,0x0,5.05375,0.0625,0.315859375
9434.120132261,1784286746.3342016,100.0,100.0,100.0,100.0,100.0,2400000,61.7,2939.796875,8.59969470029875,6.843061244694999,0.6206443926490799,5.08798,0x0,5.05,0.0625,0.315625
9434.220051318,1784286746.4341178,100.0,100.0,100.0,100.0,97.5609756097561,2400000,61.7,2948.515625,5.172385172044559,3.121422726312,0.8459703923026001,5.14426,0x0,5.05875,0.0625,0.316171875
9434.318155599,1784286746.5322223,100.0,88.88888888888889,90.0,90.9090909090909,92.3076923076923,2400000,63.9,2949.484375,5.331937558162241,3.693444306552,0.5696597372405799,5.17642,0x0,5.05375,0.0625,0.315859375
9434.418173435,1784286746.6322398,90.0,90.0,90.9090909090909,100.0,97.43589743589743,2400000,63.35,2955.703125,5.03905489062486,3.328389039196,0.48485029487104003,5.1992,0x0,5.06375,0.0625,0.316484375
9434.520109139,1784286746.7341778,100.0,100.0,100.0,100.0,97.61904761904762,2400000,63.9,2994.9375,5.621994022510549,3.578600802388,0.6613316305906,5.16704,0x0,5.0625,0.0625,0.31640625
9434.618268013,1784286746.8323367,100.0,100.0,100.0,100.0,97.5609756097561,2400000,63.35,2995.421875,8.61256681515734,6.905985953895,0.58838684596348,5.0384,0x0,5.0575,0.0625,0.31609375
9434.720107216,1784286746.934176,90.9090909090909,90.0,90.0,100.0,95.0,2400000,63.35,3000.484375,6.90901626880565,4.937373314068,0.733471476721,5.12282,0x0,5.0575,0.0625,0.31609375
9434.820149181,1784286747.0342185,100.0,100.0,100.0,100.0,97.5609756097561,2400000,65.55,2996.78125,5.442038396602499,3.462471062102,0.83890164851282,5.13488,0x0,5.05875,0.0625,0.316171875
9434.92013509,1784286747.1342049,90.9090909090909,90.0,90.0,100.0,95.1219512195122,2400000,65.0,2999.78125,5.54107479396874,3.524495912169,0.8255347164634201,5.13488,0x0,5.05875,0.0625,0.316171875
9435.020077703,1784286747.234146,100.0,100.0,100.0,100.0,97.36842105263158,2400000,65.0,2985.5625,8.09188518129677,6.133657513027,0.82448243858182,5.16302,0x0,5.0675,0.0625,0.31671875
9435.120040685,1784286747.3341074,11.11111111111111,20.0,80.0,45.45454545454545,38.46153846153846,2400000,64.45,3020.5625,3.7079713848936247,1.9192036306,0.577421332732,5.12818,0x0,5.06625,0.0625,0.316640625
9435.218143448,1784286747.4322102,0.0,0.0,0.0,100.0,25.641025641025642,2400000,63.35,3027.890625,3.5253055718244997,2.087559371245,0.3397709911532,5.12416,0x0,5.0625,0.0625,0.31640625
9435.318286322,1784286747.532353,30.0,37.5,22.22222222222222,70.0,41.02564102564103,2400000,64.45,3036.609375,4.83320559436867,3.214053673464,0.51736508274948,5.13756,0x0,5.055,0.0625,0.3159375
9435.418142582,1784286747.6322093,44.44444444444444,27.272727272727273,50.0,50.0,42.5,2400000,62.8,3038.71875,2.341868986408705,0.841874731087,0.4476154578457399,5.1322,0x0,5.06375,0.0625,0.316484375
9435.518135324,1784286747.732202,9.090909090909092,0.0,9.090909090909092,0.0,4.878048780487805,2400000,63.35,3042.640625,2.3601414435071506,0.83426081154178,0.43763106348763997,5.13354,0x0,5.0625,0.0625,0.31640625
9435.618135604,1784286747.832202,9.090909090909092,0.0,0.0,0.0,2.5,2400000,62.8,3042.625,2.3654191032627705,0.8416179855499999,0.43773117148640006,5.14024,0x0,5.05,0.13375,0.6754375
9435.718137198,1784286747.9322038,0.0,10.0,9.090909090909092,0.0,2.5,2400000,63.35,3042.625,2.3522136420382993,0.83426081154178,0.43682903354215996,5.14024,0x0,5.0625,0.06375,0.322734375
