t_mono,t_wall,cpu0,cpu1,cpu2,cpu3,cpu_total,arm_freq_hz,temp_c,mem_used_mb,pmic_power_w,cpu_power_w,mem_power_w,ext5v_v,throttled,ina_bus_v,ina_current_a,ina_power_w
8020.172494482,1784213825.8649554,,,,,,2400000,61.15,1299.71875,4.33734716976003,1.94948574282,0.6629049931837,5.10942,0x0,5.05625,0.0625,0.316015625
8020.272612462,1784213825.965074,0.0,100.0,18.181818181818183,0.0,30.76923076923077,2400000,61.7,1300.640625,4.11913502019715,1.7029875772799998,0.7471327301559,5.12416,0x0,5.05625,0.0625,0.316015625
8020.372612661,1784213826.0650737,0.0,100.0,0.0,0.0,28.205128205128204,2400000,61.15,1621.734375,4.28082785427008,1.9024795801799999,0.8320300191952801,5.12416,0x0,5.055,0.06375,0.32225624999999997
8020.472599508,1784213826.1650605,0.0,100.0,0.0,0.0,27.5,2400000,61.15,1621.734375,4.606166039887711,2.183596844604,0.8338538664374999,5.12148,0x0,5.05625,0.06375,0.3223359375
8020.572600393,1784213826.2650611,0.0,100.0,10.0,0.0,28.205128205128204,2400000,61.7,1621.734375,3.8823065171572604,1.5176772395120002,0.8474227212852801,5.11746,0x0,5.05625,0.06375,0.3223359375
8020.672577888,1784213826.3650389,9.090909090909092,100.0,0.0,0.0,27.5,2400000,59.5,1621.734375,3.87236836215684,1.5559113774239999,0.8458852364371799,5.11344,0x0,5.055,0.06375,0.32225624999999997
8020.772561828,1784213826.4650214,18.181818181818183,100.0,27.272727272727273,10.0,35.0,2400000,61.15,1623.0625,3.6550451603684904,1.7721059719540002,0.4810764730128,5.12282,0x0,5.06125,0.0625,0.316328125
8020.872552935,1784213826.5650127,0.0,100.0,0.0,0.0,23.68421052631579,2400000,60.6,1606.484375,3.788744819975505,1.4265235929759998,0.83382638325356,5.12148,0x0,5.0575,0.0625,0.31609375
8020.972582523,1784213826.6650429,0.0,100.0,0.0,0.0,25.0,2400000,61.15,1690.28125,4.38366811452976,1.994947311043,0.84287164754572,5.12416,0x0,5.055,0.06375,0.32225624999999997
8021.072573482,1784213826.7650342,0.0,100.0,0.0,0.0,25.0,2400000,60.6,2050.171875,4.28845669592569,1.89650889288,0.8369002609274999,5.12416,0x0,5.0575,0.0625,0.31609375
8021.172623015,1784213826.8650832,0.0,100.0,0.0,0.0,28.205128205128204,2400000,60.05,2381.484375,4.3393056310731595,1.9370121045,0.837074067468,5.12148,0x0,5.055,0.06375,0.32225624999999997
8021.272577751,1784213826.9650378,0.0,100.0,0.0,9.090909090909092,30.0,2400000,60.6,2711.578125,4.236746393303879,1.851783571902,0.83550226460276,5.14024,0x0,5.0575,0.06375,0.32241562500000004
8021.372558598,1784213827.0650182,10.0,100.0,10.0,0.0,28.94736842105263,2400000,62.25,2750.0,3.788751588801,1.9429540086239998,0.47490863447200005,5.12952,0x0,5.05875,0.0625,0.316171875
8021.472560241,1784213827.16502,0.0,100.0,10.0,10.0,30.0,2400000,62.25,2757.265625,3.6977168109699505,1.787582880006,0.4681494222690801,5.12416,0x0,5.0575,0.0625,0.31609375
8021.572565847,1784213827.2650256,9.090909090909092,100.0,0.0,0.0,29.26829268292683,2400000,61.15,2757.6875,3.6615341649798805,1.549129964,0.6451762897361599,5.1121,0x0,5.055,0.0625,0.3159375
