sentence_id,stage,t_start,t_end,duration_ms,energy_j,mean_cpu,peak_cpu,peak_temp,throttled_any,amp_energy_j,amp_energy_wh,amp_mean_w,amp_peak_w,cpu_energy_wh,cpu_mean_w,mem_energy_wh,mem_mean_w
REF,front_end,9523.334669684,9523.340735685,6.0660010003630305,,,,,,,,,,,,,
REF,acoustic,9523.340735685,9523.775074648,434.3389629993908,4.3971997147112765,86.38644688644688,97.61904761904762,69.95,False,0.1293926521219661,3.59424033672128e-05,0.31943062499999997,0.32225624999999997,0.000528334306049901,5.17137274387972,6.778908647041084e-05,0.599174630307316
REF,vocoder,9523.775074648,9524.483086305,708.011656999588,6.596809565413502,96.03256777414164,97.5609756097561,71.6,False,0.19229672802214154,5.341575778392821e-05,0.31905200892857144,0.3220171875,0.0007546096311817117,4.666863827292071,0.00013292649888023214,0.8048443052048457
REF,write,9524.483086305,9524.55443645,71.3501450009062,,55.0,55.0,71.05,False,,,0.322096875,0.322096875,,2.507259104424,,0.5304888022475001
A1,front_end,9526.554879766,9526.555428512,0.5487460002768785,,,,,,,,,,,,,
A1,acoustic,9526.555428512,9526.786823259,231.3947470011044,1.092421480769317,87.5,97.5,67.75,False,0.03194214320069932,8.87281755574981e-06,0.318778125,0.32161875,0.00012738173782017532,4.576506987370999,2.0174329931726203e-05,0.7248131755622
A1,vocoder,9526.786823259,9526.998686269,211.86300999943342,1.0291869237073072,93.72586872586874,94.5945945945946,69.95,False,0.031561045592019034,8.766957108894176e-06,0.322096875,0.322096875,0.00011472623862532124,4.215027230397999,1.7271934373403615e-05,0.6345686442602101
A1,write,9526.998686269,9527.041256313,42.570043999148766,,,,,,,,,,,,,
A2,front_end,9529.041657062,9529.042316661,0.6595989998459117,,,,,,,,,,,,,
A2,acoustic,9529.042316661,9529.370916817,328.60015600090264,3.0506753641356714,73.58793324775353,100.0,68.85,False,0.09560831240946413,2.655786455818448e-05,0.31828828124999997,0.3220171875,0.0003248334021936046,3.9451595133815,6.183022923679567e-05,0.743683767676645
A2,vocoder,9529.370916817,9529.824753772,453.836954999133,2.851451954138586,94.46115288220551,97.36842105263158,70.5,False,0.09479270129048309,2.633130591402308e-05,0.317025390625,0.32153906250000003,0.00026693804507244137,3.24578161898925,6.495974155589766e-05,0.79254290960279
A2,write,9529.824753772,9529.880846721,56.092949000230874,,82.85714285714286,82.85714285714286,69.95,False,,,0.3221765625,0.3221765625,,2.1539574602040004,,0.7268343608494401
A3,front_end,9531.881223813,9531.88198008,0.756266999815125,,,,,,,,,,,,,
A3,acoustic,9531.88198008,9532.367650059,485.6699790016137,4.830196997325489,88.53313353313354,100.0,70.5,False,0.1285512402874806,3.57086778576335e-05,0.31928875,0.3223359375,0.0006340347500238627,5.55066164737776,6.89064143657644e-05,0.6069970574305479
A3,vocoder,9532.367650059,9533.20208315,834.4330909985729,7.104387305161519,95.65915805245075,100.0,71.6,False,0.22264279354504962,6.184522042918044e-05,0.319373046875,0.3220171875,0.0007433930879112621,3.7679602058704247,0.00015110208747830226,0.7586697295768763
A3,write,9533.20208315,9533.279447854,77.36470400050166,,66.66666666666667,66.66666666666667,71.05,False,,,0.3165625,0.3165625,,2.2391859928019997,,0.80665866453072
B1,front_end,9535.279832481,9535.280524988,0.6925070010765921,,,,,,,,,,,,,
B1,acoustic,9535.280524988,9535.62372831,343.20332199968107,2.0072967413860603,84.46946007921618,100.0,69.95,False,0.06388045081343278,1.7744569670397997e-05,0.31549479166666666,0.315859375,0.00020236851861894247,3.6717079676862006,4.4073863288075536e-05,0.7652768666437467
B1,vocoder,9535.62372831,9536.133006353,509.27804300044954,4.241412996908462,95.57234657234656,97.29729729729729,71.6,False,0.12857255610524504,3.571459891812362e-05,0.319490625,0.322096875,0.0004573671201449909,4.244644884535999,9.209543412142344e-05,0.8206452338197
B1,write,9536.133006353,9536.192889728,59.88337499911722,,89.1891891891892,89.1891891891892,72.15,False,,,0.32257500000000006,0.32257500000000006,,2.0900302084799995,,0.5586368136792
B2,front_end,9538.193219532,9538.193984058,0.7645259993296349,,,,,,,,,,,,,
B2,acoustic,9538.193984058,9538.699078161,505.09410300037416,4.547439643216934,87.04878048780488,100.0,71.6,False,0.1284115291199898,3.566986919999716e-05,0.32158687500000005,0.3220171875,0.0005712291593838128,4.99783943845236,6.796412773171919e-05,0.6134529254410281
B2,vocoder,9538.699078161,9539.579849454,880.7712929992704,7.9853788960729295,95.85812330565592,97.67441860465117,72.7,False,0.25514246211018143,7.087290614171706e-05,0.3175807291666667,0.3220171875,0.0007791012420469065,3.387574272199333,0.00018096654220373364,0.8147225321277245
B2,write,9539.579849454,9539.660339672,80.49021800070477,,50.0,50.0,72.15,False,,,0.31546875,0.31546875,,1.9584357138719999,,0.6177487129818799
B3,front_end,9541.6606999,9541.661371795,0.6718950007780222,,,,,,,,,,,,,
