t_mono,t_wall,cpu0,cpu1,cpu2,cpu3,cpu_total,arm_freq_hz,temp_c,mem_used_mb,pmic_power_w,cpu_power_w,mem_power_w,ext5v_v,throttled,ina_bus_v,ina_current_a,ina_power_w
9206.636421082,1784215012.328882,,,,,,2400000,61.7,1281.890625,4.0009519592263505,1.518617489928,0.84980256734144,5.11612,0x0,5.05375,0.06375,0.3221765625
9206.736497582,1784215012.428959,0.0,100.0,0.0,0.0,25.641025641025642,2400000,61.15,1286.703125,4.06528499264908,1.641569259064,0.7517447652647,5.12148,0x0,5.05375,0.06375,0.3221765625
9206.836514137,1784215012.5289757,0.0,100.0,0.0,0.0,25.0,2400000,62.8,1583.515625,4.333624683263629,1.9435560567219998,0.8502604134319999,5.12416,0x0,5.05375,0.06375,0.3221765625
9206.936501413,1784215012.6289618,0.0,100.0,0.0,9.090909090909092,25.641025641025642,2400000,62.8,1525.390625,3.6220773945576297,1.4712177321800002,0.65934356420086,5.1121,0x0,5.055,0.06375,0.32225624999999997
9207.036512746,1784215012.7289746,0.0,100.0,0.0,0.0,25.0,2400000,62.8,1525.625,4.338088510280841,1.981044230656,0.84897586500646,5.11344,0x0,5.05375,0.06375,0.3221765625
9207.136510115,1784215012.8289719,0.0,100.0,0.0,0.0,27.5,2400000,63.35,1525.625,4.2309809573038,1.929264056082,0.8188240935014,5.1322,0x0,5.05375,0.06375,0.3221765625
9207.236484244,1784215012.9289436,0.0,100.0,0.0,0.0,23.076923076923077,2400000,62.25,1525.625,3.6066651846621305,1.788691032282,0.44505357683901003,5.12416,0x0,5.0575,0.06375,0.32241562500000004
9207.33649791,1784215013.028959,0.0,100.0,0.0,0.0,25.0,2400000,61.7,1525.625,4.309548632541659,1.9370121045,0.8361529348016,5.11746,0x0,5.04875,0.0625,0.315546875
9207.436508799,1784215013.1289697,0.0,100.0,0.0,0.0,25.641025641025642,2400000,61.7,1765.875,4.492949168365229,1.9459642491139997,0.83753684848568,5.12148,0x0,5.0525,0.0625,0.31578125
9207.536499798,1784215013.2289605,0.0,100.0,0.0,0.0,25.0,2400000,61.7,2118.5,4.21580724850091,1.89650889288,0.819587915957,5.1188,0x0,5.05375,0.06375,0.3221765625
9207.636508947,1784215013.3289695,0.0,100.0,0.0,0.0,25.0,2400000,62.8,2478.875,4.275750835079969,1.9435560567219998,0.8350686215162,5.11746,0x0,5.05375,0.06375,0.3221765625
9207.736484928,1784215013.4289443,0.0,100.0,0.0,16.666666666666668,29.26829268292683,2400000,63.35,2721.234375,3.6594689209969506,1.836287475066,0.470007449701,5.12148,0x0,5.05875,0.06375,0.3224953125
9207.836490798,1784215013.5289505,20.0,90.0,23.076923076923077,0.0,30.76923076923077,2400000,62.8,2725.4375,3.74326038818003,1.8500637771359998,0.50552990399776,5.092,0x0,5.055,0.06375,0.32225624999999997
9207.936486298,1784215013.6289458,0.0,100.0,0.0,0.0,27.5,2400000,61.7,2725.609375,3.25712783060241,1.215690441854,0.6165840622025001,5.12148,0x0,5.055,0.06375,0.32225624999999997
9208.036487817,1784215013.7289474,0.0,100.0,0.0,0.0,25.0,2400000,63.35,2725.609375,3.6579718082702697,1.4853224707200001,0.68784410115392,5.12416,0x0,5.05375,0.06375,0.3221765625
9208.136482039,1784215013.828942,0.0,100.0,0.0,0.0,25.0,2400000,62.8,2725.609375,3.21706755146861,1.252463688918,0.5811388126771799,5.11612,0x0,5.0575,0.06375,0.32241562500000004
9208.236479909,1784215013.9289396,0.0,100.0,0.0,0.0,25.0,2400000,62.25,2725.59375,3.7273575700421553,1.891694329816,0.49406402997658005,5.12282,0x0,5.05,0.06375,0.3219375
9208.336483409,1784215014.0289433,0.0,100.0,0.0,9.090909090909092,25.0,2400000,62.25,2754.65625,3.9841993633006707,1.8334449247950002,0.648045911823,5.11746,0x0,5.0525,0.0625,0.31578125
9208.436492262,1784215014.1289518,0.0,100.0,0.0,9.090909090909092,28.205128205128204,2400000,62.25,2754.875,3.54591769353326,1.7344882737279999,0.43871709662709996,5.12416,0x0,5.0525,0.06375,0.322096875
9208.536476208,1784215014.228936,0.0,100.0,0.0,0.0,26.829268292682926,2400000,62.25,2754.875,3.54843409509412,1.733413701824,0.43766463709714004,5.12282,0x0,5.05375,0.06375,0.3221765625
9208.636477449,1784215014.328937,0.0,100.0,0.0,0.0,25.0,2400000,62.8,2754.875,3.559734564820075,1.7416918404000001,0.44272514687950004,5.12148,0x0,5.05375,0.0625,0.315859375
9208.736476061,1784215014.4289355,0.0,100.0,0.0,9.090909090909092,25.0,2400000,63.35,2755.109375,3.5631040924304704,1.7798444259800001,0.44315419979180004,5.12282,0x0,5.05375,0.0625,0.315859375
