sentence_id,stage,t_start,t_end,duration_ms,energy_j,mean_cpu,peak_cpu,peak_temp,throttled_any,amp_energy_j,amp_energy_wh,amp_mean_w,amp_peak_w,cpu_energy_wh,cpu_mean_w,mem_energy_wh,mem_mean_w
REF,front_end,10278.090209472,10278.09612852,5.919047998759197,,,,,,,,,,,,,
REF,acoustic,10278.09612852,10278.522978302,426.84978200122714,3.1943054501570507,88.61416361416362,100.0,69.95,False,0.09583767111027325,2.6621575308409237e-05,0.31669179687500004,0.32122031250000005,0.0003625164402384383,3.941439599094,5.739890868763724e-05,0.69984355608148
REF,vocoder,10278.522978302,10279.221515923,698.5376209995593,6.913346987021352,95.64791098625685,100.0,71.6,False,0.1903415274558884,5.287264651552455e-05,0.31670558035714286,0.322096875,0.0008386447258689047,5.010108802447542,0.00012511995247962084,0.7636597724319858
REF,write,10279.221515923,10279.292490598,70.97467499988852,,84.21052631578948,84.21052631578948,71.6,False,,,0.309771875,0.309771875,,2.485583642262,,0.61421207995484
A1,front_end,10285.435757805,10285.436340441,0.5826359993079677,,,,,,,,,,,,,
A1,acoustic,10285.436340441,10285.656951036,220.61059500083502,1.9936949238021549,63.865511182584356,94.87179487179488,67.2,False,0.06305282034590733,1.751467231830759e-05,0.31513020833333333,0.315546875,0.00022030182270760848,3.4922398570853335,2.8043134820443887e-05,0.5250170880677066
A1,vocoder,10285.656951036,10285.864475908,207.52487199933967,1.086838002324106,93.86446886446888,94.87179487179488,68.3,False,0.03095680802299768,8.599113339721577e-06,0.31578125,0.315859375,0.00012238500700237603,4.49428783709,2.318600238098446e-05,0.8514488093265801
A1,write,10285.864475908,10285.907169318,42.693409999628784,,,,,,,,,,,,,
A2,front_end,10289.347346103,10289.347998962,0.6528589983645361,,,,,,,,,,,,,
A2,acoustic,10289.347998962,10289.666352407,318.353445001776,2.4718436820074965,91.66666666666667,100.0,67.75,False,0.0626879988180574,1.7413333005015945e-05,0.3195406250000001,0.3216984375,0.00033849101447975334,6.028579795841334,3.4591045728352706e-05,0.6194363870221734
A2,vocoder,10289.666352407,10290.137478846,471.12643899890827,4.3444341261847965,95.18366129994038,97.43589743589743,69.4,False,0.12897528750632836,3.582646875175788e-05,0.3228603125,0.32695,0.00048239898268608375,4.315133806548241,8.91277542626941e-05,0.7826130307107599
A2,write,10290.137478846,10290.192117891,54.639044999930775,,,,,,,,,,,,,
A3,front_end,10295.130584387,10295.131338728,0.754341001083958,,,,,,,,,,,,,
A3,acoustic,10295.131338728,10295.63133709,499.9983620000421,4.4758104734547395,75.43169422749683,100.0,68.85,False,0.12744018871986923,3.5400052422185895e-05,0.316526875,0.32161875,0.0005111736429809283,4.664028269786,9.010491305216152e-05,0.79320419379416
A3,vocoder,10295.63133709,10296.458490833,827.153742999144,8.33932894707517,96.10109640597446,100.0,69.95,False,0.2528501328297144,7.0236148008254e-05,0.3148720486111111,0.316171875,0.0008851672252395433,3.9012726411761998,0.00017772558303768272,0.793645477706631
A3,write,10296.458490833,10296.5351365,76.64566700077557,,,,,,,,,,,,,
B1,front_end,10303.407793968,10303.408374845,0.5808770001749508,,,,,,,,,,,,,
B1,acoustic,10303.408374845,10303.75097683,342.60198500123806,3.1625666522790876,79.41994996873046,100.0,68.3,False,0.09523915953289826,2.645532209247174e-05,0.31836484375,0.3220171875,0.0003425313285008544,4.3241697354945,5.887730766403157e-05,0.651736247668525
B1,vocoder,10303.75097683,10304.264610463,513.6336329996993,4.071246823579118,94.5662226150031,100.0,70.5,False,0.12585840666626394,3.496066851840665e-05,0.3169496875,0.3218578125,0.0004233043584330796,3.7719065127823996,8.979147761878587e-05,0.7895153809909521
B1,write,10304.264610463,10304.323894081,59.28361800033599,,,,,,,,,,,,,
B2,front_end,10309.455218662,10309.455952226,0.7335640002565924,,,,,,,,,,,,,
B2,acoustic,10309.455952226,10310.034411469,578.459242999088,4.069399377740632,88.44000244513724,97.36842105263158,68.85,False,0.12597319864320147,3.4992555178667077e-05,0.3131628125,0.31671875,0.0004209875037272373,3.9736791791015995,8.00613599877905e-05,0.6736308035941719
B2,vocoder,10310.034411469,10310.931124665,896.7131959998369,8.549027342472819,94.72196451321447,97.5,71.05,False,0.25477946265326135,7.077207295923927e-05,0.3198515625,0.33439687500000004,0.000931047924190293,4.133212297390355,0.00018020565517099316,0.8168564183490824
B2,write,10310.931124665,10311.009563724,78.43905899972015,,92.3076923076923,92.3076923076923,71.05,False,,,0.309925,0.309925,,1.5641367468440002,,0.5714313041319999
B3,front_end,10318.161574092,10318.162241359,0.6672669987892732,,,,,,,,,,,,,
B3,acoustic,10318.162241359,10318.567229653,404.9882939998497,3.494276122599084,90.04431366988089,100.0,69.4,False,0.09365478768302501,2.601521880084028e-05,0.31552734375,0.31578125,0.0004704195664791947,6.0610097446583,5.470398737267341e-05,0.638545618515705
B3,vocoder,10318.567229653,10319.233230916,666.0012629999983,4.516672202301007,95.81485765696293,97.61904761904762,69.95,False,0.15812400627029788,4.3923335075082744e-05,0.31668802083333336,0.32130000000000003,0.00043245077403090444,3.3925342201283333,0.00010376077013136543,0.74916530304374
B3,write,10319.233230916,10319.302182571,68.9516550010012,,94.87179487179488,94.87179487179488,69.4,False,,,0.32225624999999997,0.32225624999999997,,1.904249745504,,0.6231438588936
B4,front_end,10325.35002821,10325.350705125,0.6769150004402036,,,,,,,,,,,,,
B4,acoustic,10325.350705125,10325.686629598,335.9244729999773,1.9554061867710701,92.94374875770224,100.0,67.75,False,0.06342766698693146,1.761879638525874e-05,0.3153916666666667,0.3219375,0.00020129808334618494,3.8489263399344664,4.5133273591879854e-05,0.7841719150425467
B4,vocoder,10325.686629598,10326.200664729,514.0351310001279,3.801174536955201,96.03537925489145,97.61904761904762,69.4,False,0.12747673947879556,3.5410205410776545e-05,0.31671468750000004,0.3216984375,0.0004101747620758975,3.8582426432819994,7.121431360492813e-05,0.6488898835543521
B4,write,10326.200664729,10326.261017027,60.35229799999797,,73.17073170731707,73.17073170731707,69.4,False,,,0.315859375,0.315859375,,1.7267450225060001,,0.74320582188902
C1,front_end,10331.471593786,10331.472470278,0.8764920003159204,,,,,,,,,,,,,
C1,acoustic,10331.472470278,10332.172514623,700.0443449996965,5.920674236350452,91.79397837934422,100.0,69.4,False,0.19083045935049542,5.3008460930693175e-05,0.31907700892857144,0.32833125,0.0006605910673470908,3.8730974417358577,0.00011345703162983071,0.6876974348526345
C1,vocoder,10332.172514623,10333.458920561,1286.4059379990067,11.964289279817555,96.20777700800939,100.0,71.05,False,0.3815273959886092,0.00010597983221905811,0.3175673076923078,0.32808750000000003,0.001300497953271086,3.7890575369741226,0.00025711512371625006,0.770215245655203
C1,write,10333.458920561,10333.557135225,98.2146640017163,,39.473684210526315,39.473684210526315,68.85,False,,,0.31578125,0.31578125,,2.1287344716,,0.6152876317070001
C2,front_end,10342.941411274,10342.942093009,0.6817350003984757,,,,,,,,,,,,,
C2,acoustic,10342.942093009,10343.364797619,422.70461000043724,3.510874469218325,93.87116948092557,100.0,68.3,False,0.09452469130283908,2.6256858695233077e-05,0.31527343750000003,0.31570312500000003,0.0004829315291110293,6.1153700666098505,4.767142806113997e-05,0.5753496378389249
C2,vocoder,10343.364797619,10344.040862111,676.0644919995684,5.64727368310256,96.28718170392479,100.0,69.4,False,0.19254357616013526,5.3484326711148686e-05,0.3201560267857143,0.32833125,0.0005637841777842048,3.4896385550167146,0.00012897778742780087,0.7389994390502628
C2,write,10344.040862111,10344.108448214,67.58610299948486,,,,,,,,,,,,,
REF,front_end,10350.225995732,10350.226698041,0.7023090001894161,,,,,,,,,,,,,
REF,acoustic,10350.226698041,10350.642337544,415.6395030004205,4.121623775718432,79.27120540847143,100.0,69.4,False,0.12646230536866698,3.512841815796305e-05,0.31621281250000005,0.32122031250000005,0.0004543376024466554,3.9150811313423994,7.979744305865695e-05,0.7352581029618921
REF,vocoder,10350.642337544,10351.321511861,679.1743169997062,5.0195361692227,96.70485671761905,100.0,69.95,False,0.15975954813994506,4.437765226109585e-05,0.3186778645833333,0.3223359375,0.0005317838145013991,3.9730030435265,0.00011638738529034676,0.8384050764847201
REF,write,10351.321511861,10351.391757332,70.24547099899792,,84.61538461538461,84.61538461538461,69.95,False,,,0.3165625,0.3165625,,2.429874564164,,0.8228305604242001
REF,front_end,10357.5135314,10357.514245432,0.7140319994505262,,,,,,,,,,,,,
