t_mono,t_wall,cpu0,cpu1,cpu2,cpu3,cpu_total,arm_freq_hz,temp_c,mem_used_mb,pmic_power_w,cpu_power_w,mem_power_w,ext5v_v,throttled,ina_bus_v,ina_current_a,ina_power_w
9517.444262165,1784215323.136723,,,,,,2400000,65.0,1307.328125,4.69387450096467,1.98042996096,0.8417016178499199,5.10808,0x0,5.04875,0.06375,0.3218578125
9517.544340241,1784215323.2367997,0.0,100.0,0.0,9.090909090909092,25.0,2400000,65.55,1334.90625,4.039539044228859,1.633319903664,0.7608201483443,5.12416,0x0,5.05375,0.0625,0.315859375
9517.644364297,1784215323.3368258,0.0,100.0,0.0,0.0,25.641025641025642,2400000,65.55,1579.03125,4.314892380485349,1.9690238237699997,0.8384395958219999,5.12282,0x0,5.0512500000000005,0.0625,0.31570312500000003
9517.744343686,1784215323.4368043,0.0,100.0,0.0,0.0,25.0,2400000,65.55,1579.265625,4.2377941488698445,1.9066099659359999,0.8371399878238,5.11344,0x0,5.0512500000000005,0.0625,0.31570312500000003
9517.844364242,1784215323.536826,0.0,100.0,0.0,0.0,25.641025641025642,2400000,65.55,1571.171875,4.27904420742106,1.9429540086239998,0.8475460550358,5.11612,0x0,5.0512500000000005,0.06375,0.3220171875
9517.944352335,1784215323.6368139,0.0,100.0,0.0,9.090909090909092,26.829268292682926,2400000,65.55,1571.171875,3.8651045240466004,1.5559113774239999,0.80272984851438,5.10674,0x0,5.0512500000000005,0.06375,0.3220171875
9518.044320095,1784215323.7367797,0.0,100.0,0.0,0.0,25.641025641025642,2400000,66.1,1570.9375,3.645353129949305,1.8274072883919998,0.46404563563064,5.1188,0x0,5.05375,0.06375,0.3221765625
9518.144334003,1784215323.8367949,0.0,100.0,0.0,0.0,25.0,2400000,65.55,1570.9375,4.216704748067855,1.9458588376080002,0.8468003348403801,5.1188,0x0,5.0475,0.06375,0.321778125
9518.244342633,1784215323.9368024,0.0,100.0,0.0,0.0,25.0,2400000,65.55,1805.859375,4.36262219166414,2.01324531772,0.83921369026654,5.12014,0x0,5.05,0.06375,0.3219375
9518.344339485,1784215324.0367997,0.0,100.0,0.0,0.0,25.641025641025642,2400000,64.45,2166.234375,3.9606852857994705,1.6008669638100002,0.8468745540764401,5.11612,0x0,5.0512500000000005,0.0625,0.31570312500000003
9518.444343468,1784215324.1368039,0.0,100.0,0.0,0.0,25.0,2400000,64.45,2481.5625,4.408885904841131,2.0113741791,0.85888999333364,5.12148,0x0,5.0512500000000005,0.06375,0.3220171875
9518.544325913,1784215324.2367854,0.0,100.0,0.0,9.090909090909092,25.641025641025642,2300000,66.1,2768.3125,3.54617704106025,1.7326460147279998,0.45717183919086,5.12148,0x0,5.05625,0.0625,0.316015625
9518.644327285,1784215324.336787,20.0,90.9090909090909,18.181818181818183,0.0,31.70731707317073,2400000,66.1,2774.453125,3.71237090994937,1.904839800612,0.44305051012994,5.1322,0x0,5.0525,0.06375,0.322096875
9518.744361675,1784215324.4368215,0.0,100.0,0.0,0.0,27.5,2400000,66.1,2776.40625,3.33097604054953,1.23853641984,0.6775003015247201,5.12416,0x0,5.05375,0.0625,0.315859375
9518.844329305,1784215324.536789,0.0,100.0,0.0,0.0,25.0,2400000,65.55,2777.78125,3.60463987381648,1.447539440688,0.7141372917969999,5.1188,0x0,5.0525,0.06375,0.322096875
9518.944323214,1784215324.636783,0.0,100.0,0.0,0.0,25.0,2400000,64.45,2777.359375,3.2343571644292304,1.27684491429,0.57771561345432,5.12684,0x0,5.05625,0.06375,0.3223359375
9519.044321307,1784215324.7367811,0.0,100.0,0.0,0.0,26.829268292682926,2400000,66.65,2777.34375,3.79728543252436,1.9435560567219998,0.47265618949996996,5.12282,0x0,5.04875,0.0625,0.315546875
9519.14432429,1784215324.836784,0.0,100.0,0.0,0.0,23.68421052631579,2400000,66.1,2777.34375,3.7539350271640006,1.8428937908360001,0.50856069947106,5.11612,0x0,5.0525,0.06375,0.322096875
9519.244338291,1784215324.9367988,0.0,100.0,0.0,0.0,27.5,2400000,65.55,2777.34375,3.57223988904709,1.710728429904,0.44521503372595006,5.12282,0x0,5.0525,0.06375,0.322096875
9519.344317773,1784215325.0367773,0.0,100.0,0.0,0.0,25.0,2400000,66.1,2777.109375,3.53029492351279,1.7339509877759998,0.44220336542844996,5.12416,0x0,5.05375,0.06375,0.3221765625
9519.444318108,1784215325.1367774,0.0,100.0,0.0,9.090909090909092,25.0,2400000,65.55,2777.109375,3.5406357866130804,1.7488906098760002,0.43998288559024,5.12282,0x0,5.05375,0.06375,0.3221765625
9519.54431711,1784215325.2367764,0.0,100.0,0.0,0.0,25.641025641025642,2400000,66.1,2777.109375,3.51836977127188,1.7262101351519998,0.44070737114411995,5.12416,0x0,5.05375,0.06375,0.3221765625
9519.644318148,1784215325.3367774,0.0,100.0,0.0,9.090909090909092,26.829268292682926,2400000,65.55,2777.109375,3.5589335371834503,1.74834832491,0.43938865888426,5.12148,0x0,5.05375,0.0625,0.315859375
9519.744317094,1784215325.4367766,0.0,100.0,0.0,9.090909090909092,26.829268292682926,2400000,66.1,2777.109375,3.5640006919869704,1.757718027394,0.44344378755565006,5.1188,0x0,5.05375,0.06375,0.3221765625
