t_mono,t_wall,cpu0,cpu1,cpu2,cpu3,cpu_total,arm_freq_hz,temp_c,mem_used_mb,pmic_power_w,cpu_power_w,mem_power_w,ext5v_v,throttled,ina_bus_v,ina_current_a,ina_power_w
10005.116893774,1784215810.8093536,,,,,,2400000,62.8,1294.90625,4.44821549267959,1.9268750524740001,0.8500976225022601,5.12684,0x0,5.0512500000000005,0.06375,0.3220171875
10005.216980773,1784215810.9094417,0.0,0.0,100.0,9.090909090909092,27.5,2400000,62.8,1294.890625,4.2005604714583304,1.93401363375,0.63952100904688,5.12684,0x0,5.0512500000000005,0.06375,0.3220171875
10005.316987567,1784215811.009449,0.0,0.0,100.0,10.0,26.829268292682926,2400000,62.25,1593.265625,4.29364635148199,1.92866680518,0.8503764828277001,5.13488,0x0,5.0512500000000005,0.06375,0.3220171875
10005.41698575,1784215811.1094463,0.0,0.0,100.0,0.0,25.641025641025642,2400000,62.8,1601.015625,4.33507324318893,1.9280695542780002,0.83171727774288,5.1188,0x0,5.05375,0.06375,0.3221765625
10005.516969693,1784215811.20943,0.0,0.0,100.0,0.0,25.0,2400000,62.25,1601.015625,4.17851225220591,1.9030694156099999,0.7895248018962,5.13354,0x0,5.05375,0.06375,0.3221765625
10005.616986802,1784215811.3094478,0.0,0.0,100.0,0.0,25.641025641025642,2400000,62.25,1601.015625,4.276230099472184,1.9584357138719999,0.85011800416648,5.10674,0x0,5.05375,0.06375,0.3221765625
10005.716967912,1784215811.4094272,0.0,0.0,100.0,0.0,25.0,2400000,62.8,1601.015625,3.5374237546786103,1.709668052235,0.4697387102642,5.1188,0x0,5.05625,0.06375,0.3223359375
10005.816966113,1784215811.5094264,0.0,0.0,100.0,0.0,25.0,2400000,62.25,1602.46875,4.196470545161744,1.9512993079440002,0.8116152105747999,5.12148,0x0,5.04875,0.06375,0.3218578125
10005.91697276,1784215811.6094334,0.0,0.0,100.0,0.0,25.641025641025642,2400000,62.25,1741.953125,4.28049525072226,1.9739174191199997,0.8174685305662199,5.11746,0x0,5.0525,0.06375,0.322096875
10006.016985795,1784215811.709446,0.0,0.0,100.0,0.0,25.0,2400000,62.25,2093.609375,4.209653164227849,1.865545482384,0.8173709769108,5.12282,0x0,5.05375,0.06375,0.3221765625
10006.116986849,1784215811.8094475,0.0,0.0,100.0,0.0,25.641025641025642,2400000,62.25,2438.5,4.31632235129283,1.9429540086239998,0.83646074123088,5.11746,0x0,5.0525,0.06375,0.322096875
10006.216983884,1784215811.9094434,0.0,0.0,100.0,0.0,25.0,2400000,61.15,2738.8125,3.34867991950241,1.67237910928,0.29946228996253005,5.14292,0x0,5.0575,0.0625,0.31609375
