t_mono,t_wall,cpu0,cpu1,cpu2,cpu3,cpu_total,arm_freq_hz,temp_c,mem_used_mb,pmic_power_w,cpu_power_w,mem_power_w,ext5v_v,throttled,ina_bus_v,ina_current_a,ina_power_w
10272.236753582,1784216077.9292147,,,,,,2400000,66.65,1325.6875,4.4559159756597095,1.9763639890799998,0.8310906375895599,5.13488,0x0,5.05,0.0625,0.315625
10272.3368364,1784216078.0292974,0.0,0.0,100.0,0.0,25.0,2400000,67.2,1392.9375,4.17129381728293,1.7190017712840002,0.7626859745496,5.12148,0x0,5.0525,0.0625,0.31578125
10272.436847755,1784216078.1293097,0.0,0.0,100.0,0.0,25.641025641025642,2400000,67.2,1639.96875,4.359182806593385,1.9769756315699998,0.84835392966456,5.13354,0x0,5.0525,0.06375,0.322096875
10272.536856332,1784216078.2293177,0.0,0.0,100.0,0.0,25.0,2400000,66.1,1639.96875,3.94246599757696,1.6100973457919998,0.8525424499348001,5.1188,0x0,5.0525,0.0625,0.31578125
10272.636832909,1784216078.3292937,0.0,0.0,100.0,0.0,25.641025641025642,2400000,67.2,1639.96875,4.22281185658664,1.8500637771359998,0.8452202606906001,5.1121,0x0,5.0525,0.06375,0.322096875
10272.73681619,1784216078.4292765,0.0,0.0,100.0,0.0,25.0,2400000,67.2,1639.96875,4.042142367277531,2.020988568942,0.6403260439941401,5.13488,0x0,5.0525,0.065,0.32841250000000005
10272.836811341,1784216078.529271,0.0,0.0,100.0,0.0,25.641025641025642,2400000,67.2,1621.125,3.51459205418922,1.8572289662400001,0.37446463131784,5.12148,0x0,5.05375,0.06125,0.3095421875
10272.9368279,1784216078.6292884,0.0,0.0,100.0,0.0,25.0,2400000,67.2,1621.125,4.33139828642236,1.9726939064249998,0.8022256958742,5.12014,0x0,5.0525,0.0625,0.31578125
10273.036840403,1784216078.7293017,0.0,0.0,100.0,0.0,25.0,2400000,67.2,1899.390625,4.3696835474885996,2.028731820164,0.8410274772541,5.1188,0x0,5.0512500000000005,0.0625,0.31570312500000003
10273.136829684,1784216078.8292902,0.0,0.0,100.0,0.0,25.641025641025642,2400000,67.2,2244.265625,4.308245448404961,1.9584357138719999,0.8238511451154801,5.12014,0x0,5.0512500000000005,0.065,0.32833125
10273.236837224,1784216078.929298,0.0,0.0,100.0,0.0,25.0,2400000,67.2,2574.609375,4.554912988864305,2.0061233033800003,0.8420862430373,5.13086,0x0,5.05,0.06125,0.3093125
10273.336819745,1784216079.0292797,10.0,0.0,100.0,10.0,27.5,2200000,67.2,2800.328125,3.3919562250485398,1.776097542646,0.33995268821758,5.12416,0x0,5.05625,0.0625,0.316015625
10273.436817841,1784216079.1292775,9.090909090909092,66.66666666666667,40.0,9.090909090909092,28.205128205128204,2400000,67.2,2801.84375,3.4790050537256803,1.865545482384,0.29749758739245,5.12416,0x0,5.05375,0.06375,0.3221765625
10273.536816918,1784216079.2292764,0.0,100.0,0.0,0.0,25.0,2400000,67.2,2801.84375,3.3001216242813847,1.540906993178,0.44828586215519994,5.10272,0x0,5.05625,0.0625,0.316015625
10273.636822773,1784216079.3292828,0.0,100.0,0.0,0.0,25.0,2400000,67.2,2801.84375,3.6514859046600203,1.5791339352959999,0.73383966401876,5.12148,0x0,5.0512500000000005,0.0625,0.31570312500000003
10273.736815184,1784216079.4292746,0.0,100.0,0.0,0.0,25.641025641025642,2400000,67.2,2801.84375,2.99474722601619,1.300060276368,0.39201443545836,5.1121,0x0,5.0575,0.06375,0.32241562500000004
10273.836810835,1784216079.5292702,0.0,100.0,0.0,0.0,25.0,2400000,66.1,2802.0625,3.5105032081358605,1.9584357138719999,0.28844560665366,5.12282,0x0,5.04875,0.06375,0.3218578125
10273.936817486,1784216079.6292777,0.0,100.0,0.0,0.0,25.0,2400000,67.2,2826.28125,3.70847555070595,1.70351526884,0.67467727703948,5.1255,0x0,5.0525,0.06375,0.322096875
10274.03681873,1784216079.7292783,0.0,100.0,0.0,10.0,27.5,2400000,67.2,2826.28125,3.39144037885975,1.7184692825280001,0.42365174390592,5.12148,0x0,5.055,0.0625,0.3159375
10274.136808011,1784216079.8292675,0.0,100.0,0.0,0.0,25.0,2400000,66.65,2826.28125,3.4462736825940605,1.7488906098760002,0.4394794033178999,5.12282,0x0,5.05375,0.06375,0.3221765625
10274.236815533,1784216079.9292748,0.0,100.0,0.0,0.0,25.641025641025642,2400000,66.1,2826.515625,3.5523253916315802,1.757173545648,0.44229887720966,5.12416,0x0,5.05375,0.0625,0.315859375
10274.33680848,1784216080.0292678,0.0,100.0,0.0,0.0,25.0,2400000,67.2,2827.234375,3.4108039074428205,1.7411521558500003,0.44409377735688005,5.11746,0x0,5.05375,0.0625,0.315859375
10274.436809483,1784216080.1292694,0.0,100.0,0.0,0.0,25.0,2400000,65.55,2827.234375,3.41370020381928,1.725675247798,0.45992642430352004,5.12416,0x0,5.05375,0.0625,0.315859375
10274.536808098,1784216080.2292676,0.0,100.0,0.0,0.0,25.0,2400000,66.1,2828.203125,3.39605449568539,1.725140161305,0.44144884758068004,5.11746,0x0,5.05375,0.0625,0.315859375
10274.636808231,1784216080.3292677,0.0,100.0,0.0,0.0,25.0,2400000,66.65,2828.203125,3.41993436441981,1.7262101351519998,0.44369035140880003,5.1255,0x0,5.05375,0.0625,0.315859375
10274.736814586,1784216080.429274,0.0,100.0,0.0,0.0,26.829268292682926,2400000,66.65,2828.203125,3.40840114846087,1.725675247798,0.43889682912821,5.11746,0x0,5.05375,0.0625,0.315859375
10274.836810719,1784216080.5292702,0.0,100.0,0.0,0.0,25.0,2400000,67.2,2830.65625,3.5844987883306305,1.7406122703750002,0.43658231935914005,5.12416,0x0,5.0525,0.0625,0.31578125
